,title,authors,blurb,citations,citation_rate,year,link
0,Foundations of statistical natural language processing,"['C Manning', 'H Schutze']",Statistical approaches to processing natural language text have become dominant in recent years. This foundational text is the first comprehensive introduction to statistical natural language processing (NLP) to appear. The book contains all the theory and algorithms ,13929,633.1363636363636,1999,https://books.google.com/books?hl=en&lr=&id=3qnuDwAAQBAJ&oi=fnd&pg=PT12&dq=%22natural+language+processing%22&ots=yrO4l3GsSW&sig=MhRki_MQdDM1dKNq-dpyX3KBDdE
1,Natural language processing (almost) from scratch,"['R Collobert', 'J Weston', 'L Bottou', 'M Karlen']","We propose a unified neural network architecture and learning algorithm that can be applied to various natural language processing tasks including part-of-speech tagging, chunking, named entity recognition, and semantic role labeling. This versatility is achieved by trying to ",6484,648.4,2011,http://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf
2,The Stanford CoreNLP natural language processing toolkit,"['CD Manning', 'M Surdeanu', 'J Bauer', 'JR Finkel']","We describe the design and use of the Stanford CoreNLP toolkit, an extensible pipeline that provides core natural language analysis. This toolkit is quite widely used, both in the research NLP community and also among commercial and government users of open ",5409,772.7142857142857,2014,https://www.aclweb.org/anthology/P14-5010.pdf
3,Natural language processing with Python: analyzing text with the natural language toolkit,"['S Bird', 'E Klein', 'E Loper']","This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation. With it, you'll learn how to write Python programs ",5304,442.0,2009,https://books.google.com/books?hl=en&lr=&id=KGIbfiiP1i4C&oi=fnd&pg=PR5&dq=%22natural+language+processing%22&ots=Y3How6NFO1&sig=6NS553f0SpjVWwL-0r0o0Hw2Kww
4,A unified architecture for natural language processing: Deep neural networks with multitask learning,"['R Collobert', 'J Weston']","We describe a single convolutional neural network architecture that, given a sentence, outputs a host of language processing predictions: part-of-speech tags, chunks, named entity tags, semantic roles, semantically similar words and the likelihood that the sentence ",4862,374.0,2008,https://dl.acm.org/doi/abs/10.1145/1390156.1390177
5,A maximum entropy approach to natural language processing,"['A Berger', 'SA Della Pietra', 'VJ Della Pietra']","The concept of maximum entropy can be traced back along multiple threads to Biblical times. Only recently, however, have computers become powerful enough to permit the widescale application of this concept to real world problems in statistical estimation and ",4244,169.76,1996,https://dl.acm.org/doi/abs/10.5555/234285.234289
6,Natural language understanding,['J Allen'],"Skip navigation  
",3823,147.03846153846155,1995,http://125.234.102.27/handle/TVDHBRVT/15951
7,NLTK: the natural language toolkit,"['E Loper', 'S Bird']"," 3.1 Requirements Ease of Use. The primary purpose of the toolkit is to allow students to
concentrate on building natural language processing (NLP) sys- tems  2002. Finite-State
Morphology: Xerox Tools and Techniques. Studies in Natural Language Processing  
",3142,165.3684210526316,2002,https://arxiv.org/abs/cs/0205028
8,Transformation-based error-driven learning and natural language processing: A case study in part-of-speech tagging,['E Brill'],"Recently, there has been a rebirth of empiricism in the field of natural language processing. Manual encoding of linguistic information is being challenged by automated corpus-based learning as a method of providing a natural language processing system with linguistic ",2363,90.88461538461539,1995,https://dl.acm.org/doi/abs/10.5555/218355.218367
9,Cheap and fast–but is it good? evaluating non-expert annotations for natural language tasks,"['R Snow', ""B O'connor"", 'D Jurafsky', 'AY Ng']","Human linguistic annotation is crucial for many natural language processing tasks but can be expensive and time-consuming. We explore the use of Amazon's Mechanical Turk system, a significantly cheaper and faster method for collecting annotations from a broad ",2136,164.30769230769232,2008,https://www.aclweb.org/anthology/D08-1027.pdf
10,Sentiment analysis: Capturing favorability using natural language processing,"['T Nasukawa', 'J Yi']","This paper illustrates a sentiment analysis approach to extract sentiments associated with polarities of positive or negative for specific subjects from a document, instead of classifying the whole document into positive or negative. The essential issues in sentiment analysis are ",1194,66.33333333333333,2003,https://dl.acm.org/doi/abs/10.1145/945645.945658
11,Convolution kernels for natural language,"['M Collins', 'N Duffy']"," space ¤£ , and applying the original algorithm in this new feature space. Kernels provide an
efficient way to carry out these calculations when ¥ is large or even infinite. This paper describes
the application of kernel methods to Natural Language Processing (NLP) problems  
",1126,59.26315789473684,2002,http://papers.nips.cc/paper/2089-convolution-kernels-for-natural-language.pdf
12,Recent trends in deep learning based natural language processing,"['T Young', 'D Hazarika', 'S Poria']","Deep learning methods employ multiple processing layers to learn hierarchical representations of data, and have produced state-of-the-art results in many domains. Recently, a variety of model designs and methods have blossomed in the context of natural  ",961,320.3333333333333,2018,https://ieeexplore.ieee.org/abstract/document/8416973/
13,Ask me anything: Dynamic memory networks for natural language processing,"['A Kumar', 'O Irsoy', 'P Ondruska', 'M Iyyer']","Most tasks in natural language processing can be cast into question answering (QA) problems over language input. We introduce the dynamic memory network (DMN), a neural network architecture which processes input sequences and questions, forms episodic ",910,182.0,2016,http://www.jmlr.org/proceedings/papers/v48/kumar16.pdf
14,Natural language processing,['KR Chowdhary'],"The abundant volume of natural language text in the connected world, though having a large content of knowledge, but it is becoming increasingly difficult to disseminate it by a human to discover the knowledge/wisdom in it, specifically within any given time limits. The ",863,863.0,2020,https://link.springer.com/chapter/10.1007/978-81-322-3972-7_19
15,Apparatus and methods for an information retrieval system that employs natural language processing of search results to improve overall precision,['L Braden'],"Apparatus and accompanying methods for an information retrieval system that utilizes natural language processing to process results retrieved by, for example, an information retrieval engine such as a conventional statistical-based search engine, in order to improve ",851,38.68181818181818,1999,https://patents.google.com/patent/US5933822A/en
16,Sentiment analyzer: Extracting sentiments about a given topic using natural language processing techniques,"['J Yi', 'T Nasukawa', 'R Bunescu']","We present sentiment analyzer (SA) that extracts sentiment (or opinion) about a subject from online text documents. Instead of classifying the sentiment of an entire document about a subject, SA detects all references to the given subject, and determines sentiment in each of ",846,47.0,2003,https://ieeexplore.ieee.org/abstract/document/1250949/
17,Massively parallel parsing: A strongly interactive model of natural language interpretation,"['DL Waltz', 'JB Pollack']"," This is ct description of research in developing ct natural language processing system with
modular knowledge sources but strongly interactive processing  Consider ambiguity, perhaps
the most ubiquitous problem in natural language processing  
",741,20.583333333333332,1985,https://www.sciencedirect.com/science/article/pii/S0364021385800094
18,"Generation, archiving, and retrieval of digital images with evoked suggestion-set captions and natural language interface","['A Balogh', 'H Blejer', 'E Chen', 'S Flank']","A natural language processing database removes ambiguities from the metadata,
and the images and the metadata are stored in databases. A user formulates a search
query, and natural language processing is used to determine  
",739,29.56,1996,https://patents.google.com/patent/US5493677A/en
19,A primer on neural network models for natural language processing,['Y Goldberg'],"Over the past few years, neural networks have re-emerged as powerful machine-learning models, yielding state-of-the-art results in fields such as image recognition and speech processing. More recently, neural network models started to be applied also to textual ",716,143.2,2016,http://www.jair.org/index.php/jair/article/view/11030
20,Jumping NLP curves: A review of natural language processing research,"['E Cambria', 'B White']",Natural language processing (NLP) is a theory-motivated range of computational techniques for the automatic analysis and representation of human language. NLP research has evolved from the era of punch cards and batch processing (in which the analysis of a ,691,98.71428571428571,2014,https://ieeexplore.ieee.org/abstract/document/6786458/
21,Introduction to Arabic natural language processing,['NY Habash'],This book provides system developers and researchers in natural language processing and computational linguistics with the necessary background information for working with the Arabic language. The goal is to introduce Arabic linguistic phenomena and review the state ,679,61.72727272727273,2010,https://www.morganclaypool.com/doi/abs/10.2200/s00277ed1v01y201008hlt010
22,GENIES: a natural-language processing system for the extraction of molecular pathways from journal articles,"['C Friedman', 'P Kra', 'H Yu', 'M Krauthammer']","Abstract Systems that extract structured information from natural language passages have been highly successful in specialized domains. The time is opportune for developing analogous applications for molecular biology and genomics. We present a system, GENIES ",663,33.15,2001,https://bi.snu.ac.kr/SEMINAR/ISMB2001/papers/ppt/S74ppt.pdf
23,"Natural language processing for online applications: Text retrieval, extraction and categorization","['P Jackson', 'I Moulinier']","This text covers the technologies of document retrieval, information extraction, and text categorization in a way which highlights commonalities in terms of both general principles and practical concerns. It assumes some mathematical background on the part of the reader ",576,41.142857142857146,2007,https://books.google.com/books?hl=en&lr=&id=aZN05pMJTLAC&oi=fnd&pg=PR1&dq=%22natural+language+processing%22&ots=Ha5Ce5DkBV&sig=6N5woImj3WABlfYEMTn-d9VYsN0
24,Natural language processing: an introduction,"['PM Nadkarni', 'L Ohno']",Objectives To provide an overview and tutorial of natural language processing (NLP) and modern NLP-system design. Target audience This tutorial targets the medical informatics generalist who has limited acquaintance with the principles behind NLP and/or limited ,565,56.5,2011,https://academic.oup.com/jamia/article-abstract/18/5/544/829676
